"id","age","sex","marital","pd1","pd2","pd3","pd4","pd5","pd6","pd7","pd8","pd9","pd10","pd11","pd12","pd13","pd14","pd15","pd16","pd17","pd18","pd19","pd20","life.dis","daily.dis"
16906,68,2,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
16909,65,1,4,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
16911,55,1,1,0,0,0,0,0,0,0,0,0,0,0,4,3,4,4,2,4,2,4,4,0,14
16912,71,2,1,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,4,4,4,4,4,0,11
16914,76,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,4,4,4,3,4,0,11
16918,84,1,1,1,0,11,3,0,0,0,0,3,1,7,3,2,3,3,4,4,3,3,3,6,17
16921,56,2,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
16923,57,1,1,0,0,3,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,1,18
16926,74,2,4,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,2,4,4,0,11
16928,57,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
16930,64,2,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,3,4,4,4,4,0,10
16933,55,2,1,1,0,1,2,0,0,0,0,0,0,10,3,3,3,4,4,4,2,3,4,4,15
16934,67,2,4,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,3,4,4,0,10
16936,71,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,4,4,4,4,0,11
16943,48,2,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
16944,57,2,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
16947,57,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16955,50,2,5,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
16956,61,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,4,4,3,4,4,0,13
16959,64,2,1,5,0,10,10,0,0,0,0,2,0,4,3,3,4,3,4,4,4,4,4,5,12
16961,47,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16963,76,2,4,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,4,3,3,4,4,0,15
16971,66,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,4,3,4,4,4,3,4,4,2,11
16972,70,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,4,3,4,4,NA,15
16975,79,2,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
16977,65,1,1,2,4,1,3,0,0,0,0,0,0,1,3,4,4,3,4,4,3,4,4,5,12
16978,51,2,5,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
16987,63,2,4,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
16989,66,2,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
16992,65,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,3,4,3,4,4,0,13
16998,60,2,1,0,0,1,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,1,9
17000,58,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
17002,71,1,5,1,0,7,2,1,0,0,4,0,5,5,3,3,3,2,4,4,3,2,3,7,18
17003,50,2,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
17006,68,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
17007,67,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17009,50,2,4,0,0,1,1,0,0,0,0,0,1,1,3,3,3,3,4,3,2,3,3,4,18
17011,71,2,3,0,0,1,0,0,1,0,0,0,0,0,3,4,3,4,4,4,4,4,4,2,11
17012,47,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17015,55,2,1,0,0,0,1,0,0,0,0,0,0,0,4,3,4,4,4,4,4,4,4,1,10
17016,74,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
17017,75,2,4,0,0,200,50,0,100,0,0,3,12,15,1,1,1,1,2,1,2,4,2,6,30
17018,83,2,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
17019,75,2,3,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,0,9
17022,48,2,1,0,0,0,0,1,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,1,9
17025,64,2,1,0,0,1,0,0,0,0,1,1,0,0,4,3,3,3,4,4,3,3,3,3,15
17030,69,2,1,0,0,3,0,1,0,0,0,0,0,0,4,4,3,3,4,4,3,3,3,2,14
